"words","sentiment","n"
"abnormal","negative",1
"abruptly","negative",1
"absence","negative",2
"absurd","negative",1
"abundance","positive",1
"abuse","negative",1
"abusive","negative",1
"abysmal","negative",2
"abysmally","negative",1
"accessible","positive",2
"accomplishment","positive",1
"accurate","positive",10
"accuse","negative",2
"accusing","negative",2
"ache","negative",4
"achievement","positive",5
"achievements","positive",3
"adamant","negative",1
"adequate","positive",9
"admirable","positive",1
"admire","positive",1
"admiring","positive",1
"advanced","positive",5
"advantage","positive",5
"adverse","negative",6
"advocate","positive",4
"advocates","positive",1
"affirm","positive",2
"affirmation","positive",12
"affluent","positive",1
"afford","positive",20
"affordable","positive",9
"afraid","negative",8
"aggressive","negative",12
"alarming","negative",11
"allegation","negative",2
"amazed","positive",2
"amazing","positive",14
"amazingly","positive",1
"ambush","negative",1
"ample","positive",1
"anger","negative",1
"angry","negative",2
"anxiety","negative",16
"anxious","negative",1
"apathy","negative",3
"appeal","positive",38
"appealing","positive",2
"applaud","positive",4
"appreciable","positive",4
"appreciated","positive",9
"approval","positive",26
"approve","positive",2
"arbitrary","negative",1
"arrogance","negative",3
"arrogant","negative",1
"ashamed","negative",3
"assault","negative",3
"assurance","positive",2
"assure","positive",9
"astonishing","positive",1
"atrocities","negative",3
"attack","negative",17
"attacks","negative",2
"attentive","positive",1
"attractive","positive",2
"audaciously","negative",1
"authentic","positive",16
"autocratic","negative",6
"award","positive",3
"awarded","positive",1
"awards","positive",2
"awesome","positive",8
"awful","negative",2
"backbone","positive",4
"backward","negative",4
"bad","negative",39
"badly","negative",1
"baffled","negative",1
"bane","negative",1
"bankrupt","negative",2
"barbaric","negative",1
"barren","negative",1
"baseless","negative",2
"bashing","negative",2
"beautiful","positive",7
"beauty","positive",1
"beg","negative",2
"begging","negative",2
"believable","positive",1
"beloved","positive",5
"bemused","negative",1
"beneficial","positive",4
"beneficiary","positive",1
"benefit","positive",16
"benefits","positive",7
"berserk","negative",1
"beware","negative",1
"bewildered","negative",1
"bias","negative",3
"biased","negative",2
"biases","negative",2
"bigotry","negative",2
"bitter","negative",2
"bizarre","negative",2
"blame","negative",27
"blatant","negative",1
"blatantly","negative",2
"bleak","negative",1
"bleeding","negative",3
"bless","positive",12
"blessing","positive",1
"blind","negative",3
"bliss","positive",2
"blockage","negative",1
"bloody","negative",3
"blow","negative",5
"blunder","negative",1
"blunt","negative",1
"boil","negative",1
"bomb","negative",2
"bonkers","negative",1
"boom","positive",4
"booming","positive",1
"boost","positive",7
"bored","negative",4
"boring","negative",2
"bother","negative",3
"bothered","negative",2
"boycott","negative",6
"brainless","negative",1
"bravado","negative",1
"brave","positive",2
"bravery","positive",1
"bravo","positive",2
"breach","negative",1
"break","negative",56
"breakdown","negative",3
"breaking","negative",66
"breaks","negative",13
"breakup","negative",2
"bright","positive",1
"brilliant","positive",6
"brilliantly","positive",1
"broke","negative",1
"broken","negative",3
"brutal","negative",6
"brutality","negative",12
"brute","negative",1
"bs","negative",3
"bug","negative",1
"bullshit","negative",5
"bumpy","negative",1
"bungling","negative",1
"burden","negative",14
"burn","negative",4
"burned","negative",1
"burning","negative",3
"bust","negative",1
"callous","negative",1
"calm","positive",37
"cancer","negative",5
"cancerous","negative",1
"capability","positive",8
"capable","positive",9
"careless","negative",3
"carelessness","negative",1
"caricature","negative",1
"casualty","negative",9
"catastrophe","negative",5
"catastrophic","negative",6
"cautionary","negative",1
"celebrate","positive",2
"celebrated","positive",1
"celebration","positive",1
"challenging","negative",7
"champion","positive",1
"chaos","negative",7
"chaotic","negative",1
"charitable","positive",2
"cheap","negative",11
"cheaper","positive",3
"cheapest","positive",5
"cheat","negative",3
"cheated","negative",2
"cheer","positive",3
"childish","negative",1
"chronic","negative",4
"clarity","positive",2
"classy","positive",1
"clean","positive",11
"cleanest","positive",1
"cleanliness","positive",4
"cleared","positive",1
"clever","positive",2
"clique","negative",1
"cloud","negative",1
"clueless","negative",4
"cold","negative",7
"collapse","negative",2
"comfort","positive",1
"commendable","positive",13
"commitment","positive",12
"compassion","positive",5
"compatible","positive",2
"complacent","negative",2
"complain","negative",4
"complained","negative",3
"complaining","negative",4
"complains","negative",1
"complaint","negative",5
"complex","negative",2
"compliant","positive",2
"complication","negative",5
"comprehensive","positive",24
"concern","negative",31
"concerned","negative",17
"concerns","negative",21
"concessions","negative",1
"condemn","negative",1
"confidence","positive",6
"confident","positive",5
"conflict","negative",7
"conflicting","negative",1
"confront","negative",1
"confused","negative",3
"confusing","negative",1
"confusion","negative",6
"congestion","negative",1
"congratulate","positive",2
"congratulation","positive",1
"congratulations","positive",7
"consistent","positive",1
"conspiracy","negative",3
"constructive","positive",7
"contagious","negative",3
"contaminated","negative",1
"contamination","negative",4
"continuity","positive",4
"contradict","negative",1
"contradiction","negative",1
"contribution","positive",39
"controversial","negative",1
"convenience","positive",1
"convenient","positive",1
"cool","positive",3
"correct","positive",20
"correctly","positive",1
"corrupt","negative",6
"corrupted","negative",2
"corruption","negative",4
"courage","positive",2
"courageous","positive",2
"cowardly","negative",3
"cramped","negative",1
"crap","negative",1
"crazy","negative",5
"creative","positive",6
"credence","positive",1
"credible","positive",1
"crime","negative",41
"criminal","negative",6
"cripple","negative",1
"crippled","negative",3
"crisis","negative",175
"critical","negative",78
"criticize","negative",1
"criticized","negative",1
"critics","negative",1
"crooks","negative",1
"crowded","negative",7
"crude","negative",1
"cruel","negative",10
"cruelty","negative",1
"crush","negative",1
"crushed","negative",1
"crushing","negative",1
"cry","negative",5
"culprit","negative",1
"cure","positive",60
"curse","negative",3
"cute","positive",2
"damage","negative",9
"damages","negative",3
"damn","negative",3
"damnation","negative",1
"danger","negative",15
"dangerous","negative",38
"darling","positive",1
"dastardly","negative",1
"dawn","positive",2
"dead","negative",52
"deadlock","negative",1
"deadly","negative",41
"dearth","negative",1
"death","negative",421
"debt","negative",5
"decay","negative",1
"decent","positive",1
"deceptively","negative",2
"decisive","positive",8
"decline","negative",3
"declines","negative",1
"declining","negative",2
"decrepit","negative",1
"dedicated","positive",47
"defame","negative",1
"defeat","positive",39
"defeated","positive",3
"defeating","positive",1
"defeats","positive",1
"defender","positive",1
"delay","negative",45
"delayed","negative",11
"delaying","negative",1
"delays","negative",1
"delicious","positive",4
"deluge","negative",3
"demean","negative",1
"demise","negative",1
"demon","negative",1
"denial","negative",4
"denied","negative",10
"denies","negative",3
"dense","negative",5
"deny","negative",3
"denying","negative",5
"dependable","positive",1
"depressed","negative",1
"depression","negative",9
"deprive","negative",1
"desert","negative",1
"despair","negative",2
"desperate","negative",8
"desperately","negative",3
"desperation","negative",1
"despicable","negative",1
"despicably","negative",1
"destiny","positive",1
"destitute","negative",1
"destroy","negative",16
"destruction","negative",2
"deteriorating","negative",1
"deterioration","negative",1
"deterrent","negative",1
"devastating","negative",4
"devastation","negative",2
"devil","negative",3
"devoid","negative",1
"dictator","negative",2
"die","negative",46
"died","negative",54
"dies","negative",61
"difficult","negative",44
"difficulties","negative",7
"difficulty","negative",2
"dilapidated","negative",1
"din","negative",5
"diplomatic","positive",3
"dire","negative",4
"dirt","negative",1
"dirty","negative",7
"disabled","negative",2
"disadvantage","negative",2
"disadvantaged","negative",2
"disadvantages","negative",1
"disappointed","negative",5
"disarray","negative",1
"disaster","negative",24
"disasterous","negative",1
"disastrous","negative",5
"discontinued","negative",1
"discriminate","negative",1
"discrimination","negative",8
"discriminatory","negative",1
"disgrace","negative",2
"disgusted","negative",1
"disgusting","negative",3
"disheartening","negative",5
"dishonest","negative",1
"disorder","negative",2
"displaced","negative",1
"disputed","negative",2
"disregard","negative",2
"disrespect","negative",2
"disrupt","negative",2
"disruption","negative",7
"dissent","negative",1
"distinction","positive",1
"distress","negative",4
"disturbance","negative",3
"disturbed","negative",1
"disturbing","negative",2
"dominates","positive",1
"doom","negative",1
"doomed","negative",2
"doomsday","negative",1
"doubt","negative",10
"doubtful","negative",3
"doubts","negative",1
"downfall","negative",1
"downgrade","negative",1
"downhill","negative",1
"downturn","negative",2
"draconian","negative",4
"dragged","negative",38
"drains","negative",1
"drastic","negative",3
"drastically","negative",2
"drawback","negative",1
"dread","negative",1
"dreadful","negative",1
"drones","negative",4
"dropout","negative",1
"dull","negative",1
"dumb","negative",1
"dump","negative",1
"dust","negative",2
"dwindling","negative",1
"dying","negative",11
"dynamic","positive",1
"earnestly","positive",3
"ease","positive",15
"eases","positive",2
"easier","positive",4
"easiest","positive",2
"easing","positive",3
"easy","positive",24
"economical","positive",2
"educated","positive",9
"effective","positive",31
"effectively","positive",17
"effectiveness","positive",3
"efficient","positive",3
"efficiently","positive",6
"elegantly","positive",1
"elimination","negative",2
"elite","positive",1
"embarrassingly","negative",1
"emergency","negative",168
"empathy","positive",2
"empower","positive",1
"encourage","positive",16
"encouragement","positive",1
"encouraging","positive",7
"endanger","negative",1
"endorsement","positive",2
"enemies","negative",4
"enemy","negative",7
"energetic","positive",3
"engaging","positive",1
"enhance","positive",3
"enhancement","positive",1
"enjoy","positive",7
"enjoying","positive",1
"enlighten","positive",1
"entertain","positive",2
"enthuse","positive",1
"enthusiasm","positive",1
"epidemic","negative",72
"equitable","positive",1
"erroneous","negative",1
"error","negative",2
"erudite","positive",1
"evil","negative",5
"evils","negative",1
"exceed","positive",2
"exceeding","positive",1
"excellent","positive",12
"exceptional","positive",1
"excited","positive",2
"exciting","positive",1
"excuse","negative",6
"excuses","negative",3
"exemplary","positive",3
"exhaust","negative",1
"exorbitant","negative",5
"expensive","negative",1
"expired","negative",1
"explode","negative",6
"exploit","negative",3
"explosive","negative",1
"extinguish","negative",1
"extortion","negative",1
"extraordinary","positive",11
"fabulous","positive",1
"facilitate","positive",6
"fail","negative",6
"failed","negative",12
"failing","negative",47
"fails","negative",2
"failure","negative",8
"failures","negative",2
"fair","positive",12
"faith","positive",13
"fake","negative",24
"fall","negative",11
"fallen","negative",2
"falling","negative",1
"fallout","negative",3
"falls","negative",2
"false","negative",12
"falsely","negative",1
"fame","positive",1
"famed","positive",2
"famine","negative",1
"famous","positive",10
"fans","positive",2
"fantastic","positive",5
"fascinating","positive",1
"fascism","negative",1
"fascist","negative",4
"fast","positive",49
"faster","positive",8
"fastest","positive",1
"fat","negative",1
"fatal","negative",6
"fault","negative",1
"favorable","positive",2
"favorite","positive",1
"favour","positive",6
"fear","negative",47
"fearful","negative",3
"fearlessly","positive",1
"fears","negative",6
"feasible","positive",2
"fell","negative",1
"ferocity","negative",1
"fever","negative",24
"filth","negative",1
"filthy","negative",1
"fine","positive",10
"flaking","negative",1
"flatter","positive",1
"flawed","negative",1
"flexibility","positive",1
"flourish","positive",2
"flout","negative",2
"fool","negative",4
"foolish","negative",2
"foolproof","positive",1
"forbid","negative",4
"forbidden","negative",2
"foremost","positive",1
"foresight","positive",1
"fortunate","positive",2
"fortune","positive",2
"fragile","negative",5
"freak","negative",5
"freaking","negative",2
"free","positive",137
"freed","positive",1
"freedom","positive",8
"freedoms","positive",1
"fresh","positive",6
"friendly","positive",2
"frost","negative",1
"frugal","positive",1
"fruitful","positive",3
"frustrate","negative",1
"ftw","positive",1
"fuck","negative",4
"fucking","negative",6
"fun","positive",12
"funky","negative",1
"funny","negative",9
"gain","positive",5
"gaining","positive",1
"gallantly","positive",1
"garbage","negative",3
"geezer","negative",1
"gem","positive",2
"generous","positive",2
"generously","positive",4
"genocide","negative",4
"gentle","positive",3
"genuine","positive",3
"ghastly","negative",1
"glad","positive",5
"gloom","negative",1
"gold","positive",9
"golden","positive",3
"goodness","positive",2
"goodwill","positive",1
"gossip","negative",5
"grace","positive",7
"gracefully","positive",1
"grand","positive",3
"grateful","positive",4
"gratitude","positive",4
"greatness","positive",1
"greedy","negative",2
"grievance","negative",1
"grim","negative",3
"gripe","negative",1
"grossly","negative",1
"guidance","positive",14
"guilty","negative",1
"hack","negative",2
"handy","positive",2
"hang","negative",1
"hapless","negative",1
"happier","positive",1
"happily","positive",1
"happiness","positive",2
"happy","positive",28
"harass","negative",1
"harassed","negative",2
"harassment","negative",6
"hard","negative",55
"hardships","negative",6
"harm","negative",6
"harmful","negative",3
"harried","negative",1
"harsh","negative",5
"harshly","negative",1
"hassles","negative",1
"hate","negative",4
"hated","negative",1
"hater","negative",1
"haters","negative",1
"hatred","negative",4
"haunt","negative",5
"haunting","negative",1
"havoc","negative",6
"hazard","negative",1
"hazardous","negative",1
"headache","negative",4
"heal","positive",3
"healthy","positive",32
"heartbreaking","negative",4
"heartening","positive",1
"heartfelt","positive",2
"heck","negative",2
"hectic","negative",1
"hedge","negative",2
"hefty","negative",1
"hegemony","negative",1
"hell","negative",10
"helped","positive",10
"helpful","positive",21
"helping","positive",132
"helpless","negative",4
"hero","positive",1
"heroine","positive",2
"hinder","negative",1
"hoard","negative",1
"hoax","negative",1
"holy","positive",4
"homage","positive",1
"honest","positive",4
"honesty","positive",1
"honor","positive",1
"honorable","positive",18
"honored","positive",1
"horrible","negative",5
"horrific","negative",2
"hot","positive",8
"hug","positive",1
"hum","negative",7
"humble","positive",36
"humid","negative",2
"humiliate","negative",2
"humiliating","negative",1
"humiliation","negative",1
"humor","positive",2
"humour","positive",3
"hurt","negative",4
"hurting","negative",1
"hype","negative",2
"hypocrisy","negative",2
"hypocrite","negative",1
"ideal","positive",6
"idiot","negative",6
"idiots","negative",8
"idle","negative",9
"ignorance","negative",4
"ignorant","negative",2
"ignore","negative",11
"illegal","negative",3
"illegally","negative",4
"illiterate","negative",4
"illness","negative",89
"illogical","negative",1
"immaterial","negative",1
"immature","negative",1
"immense","positive",3
"impending","negative",2
"impose","negative",20
"imposing","negative",4
"imposition","negative",3
"impossible","negative",11
"impoverished","negative",1
"impressed","positive",3
"impressive","positive",3
"improve","positive",12
"improved","positive",2
"improvement","positive",3
"improving","positive",2
"inability","negative",3
"inaccurate","negative",1
"inaction","negative",2
"inadequate","negative",5
"incapable","negative",2
"incite","negative",1
"incompetence","negative",2
"incompetent","negative",2
"inconvenience","negative",62
"incorrect","negative",3
"incredible","positive",3
"incredibly","positive",3
"inequalities","negative",1
"inequality","negative",1
"inevitable","negative",2
"infected","negative",156
"infection","negative",58
"infections","negative",40
"inferior","negative",1
"infest","negative",1
"infested","negative",2
"inflict","negative",2
"infuriated","negative",1
"ingenuity","positive",1
"inhibit","negative",1
"inhuman","negative",3
"inhumane","negative",5
"injury","negative",1
"innovation","positive",10
"innovative","positive",7
"insane","negative",1
"insanely","negative",1
"insecurity","negative",3
"insensitive","negative",3
"insightful","positive",4
"insinuate","negative",1
"inspiration","positive",7
"inspirational","positive",1
"inspire","positive",1
"inspiring","positive",7
"instrumental","positive",1
"insufficient","negative",2
"insular","negative",1
"insult","negative",1
"insulted","negative",1
