"words","sentiment","n"
"integral","positive",1
"intelligence","positive",7
"intense","negative",1
"interfere","negative",1
"interference","negative",1
"intimidation","negative",1
"intolerance","negative",1
"intriguing","positive",3
"invalid","negative",2
"invasive","negative",1
"ironic","negative",2
"irony","negative",2
"irreparable","negative",1
"irresponsible","negative",16
"irreversible","negative",1
"isolate","negative",20
"isolated","negative",12
"isolation","negative",130
"issue","negative",68
"issues","negative",45
"jabber","negative",1
"jam","negative",2
"jealous","negative",3
"jealousy","negative",1
"jobless","negative",11
"joke","negative",10
"jolt","negative",1
"joy","positive",1
"joyful","positive",1
"kill","negative",36
"killed","negative",18
"killer","negative",3
"killing","negative",9
"kills","negative",14
"kindly","positive",129
"kindness","positive",2
"knock","negative",3
"kudos","positive",8
"lack","negative",20
"lackeys","negative",1
"lacking","negative",1
"lacks","negative",1
"lag","negative",4
"lagging","negative",2
"lame","negative",2
"lapse","negative",2
"laudable","positive",1
"lawful","positive",1
"layoff","negative",1
"lead","positive",104
"leading","positive",39
"leads","positive",7
"led","positive",9
"legendary","positive",1
"lemon","negative",2
"lethal","negative",2
"leverage","positive",1
"liable","negative",1
"liar","negative",2
"liars","negative",1
"liberty","positive",1
"lies","negative",8
"lighter","positive",1
"likes","positive",2
"limit","negative",11
"limitation","negative",5
"limitations","negative",1
"limited","negative",22
"limits","negative",3
"logical","positive",3
"lonely","negative",1
"loophole","negative",1
"loopholes","negative",1
"loose","negative",6
"loot","negative",1
"lose","negative",8
"loser","negative",1
"losers","negative",1
"loses","negative",2
"losing","negative",7
"loss","negative",22
"losses","negative",15
"lost","negative",40
"loud","negative",1
"louder","negative",1
"love","positive",26
"loved","positive",9
"lovely","positive",2
"loves","positive",2
"loyal","positive",3
"loyalty","positive",2
"lucid","positive",1
"luck","positive",2
"lucky","positive",3
"lucrative","positive",1
"lurch","negative",1
"luxury","positive",3
"lying","negative",4
"mad","negative",3
"magic","positive",1
"magnificently","positive",1
"majesty","positive",1
"malicious","negative",2
"malign","negative",1
"manipulation","negative",1
"mar","negative",68
"marginal","negative",1
"marvellous","positive",1
"master","positive",4
"masters","positive",6
"meaningful","positive",1
"measly","negative",1
"meltdown","negative",1
"menace","negative",8
"menacing","negative",1
"mercilessly","negative",1
"mercy","positive",6
"merit","positive",1
"mess","negative",2
"messed","negative",1
"messing","negative",3
"mighty","positive",1
"mindless","negative",1
"mindlessly","negative",1
"miracle","positive",7
"miraculously","positive",1
"misbehavior","negative",1
"miserable","negative",1
"miserably","negative",4
"misery","negative",8
"misguided","negative",1
"mislead","negative",3
"misleading","negative",3
"miss","negative",3
"missed","negative",6
"misses","negative",1
"mistake","negative",4
"mistakes","negative",8
"misunderstand","negative",1
"misunderstanding","negative",1
"misuse","negative",3
"mock","negative",4
"mocked","negative",1
"mocking","negative",2
"modern","positive",2
"monster","negative",2
"moot","negative",1
"morality","positive",1
"morbid","negative",1
"moron","negative",1
"morons","negative",6
"motivated","positive",1
"murderer","negative",3
"mysteriously","negative",1
"mystery","negative",1
"naively","negative",1
"neat","positive",1
"needy","negative",24
"nefarious","negative",2
"negative","negative",21
"negatives","negative",1
"negativity","negative",1
"neglect","negative",3
"negligence","negative",6
"nervously","negative",1
"nice","positive",11
"nicely","positive",1
"nifty","positive",6
"nightmare","negative",7
"noble","positive",2
"noise","negative",1
"nonsense","negative",5
"noteworthy","positive",1
"nuisance","negative",1
"objection","negative",1
"obscenely","negative",1
"odd","negative",7
"offence","negative",1
"onslaught","negative",2
"openly","positive",4
"opportunistic","negative",1
"oppose","negative",1
"opposition","negative",8
"oppression","negative",1
"optimism","positive",1
"outbreak","negative",331
"outburst","negative",1
"outbursts","negative",1
"outrage","negative",1
"outrageous","negative",1
"outsmart","positive",1
"outstanding","positive",1
"overlook","negative",1
"overtake","positive",1
"overwhelm","negative",1
"overwhelmed","negative",3
"overwhelming","negative",1
"overwhelmingly","negative",1
"pain","negative",8
"painful","negative",1
"pamper","positive",1
"pan","negative",36
"pandemonium","negative",1
"panic","negative",64
"panicked","negative",2
"panicking","negative",1
"paralyzed","negative",6
"parasite","negative",1
"passive","negative",4
"pathetic","negative",6
"patience","positive",2
"patriot","positive",1
"patriotic","positive",2
"payback","negative",1
"peace","positive",12
"peaceful","positive",1
"peacefully","positive",3
"penalty","negative",1
"perfect","positive",6
"perfectly","positive",2
"perish","negative",1
"persecution","negative",2
"personalized","positive",1
"pessimistic","negative",2
"pest","negative",1
"petty","negative",3
"phenomenal","positive",1
"pity","negative",1
"plague","negative",3
"plea","negative",6
"pleased","positive",1
"pleasing","positive",1
"pleasure","positive",1
"plight","negative",2
"plot","negative",1
"poetic","positive",1
"poisonous","negative",1
"polite","positive",1
"poor","negative",205
"poorer","negative",2
"poorest","negative",16
"poorly","negative",2
"popular","positive",5
"portable","positive",1
"positively","positive",2
"positives","positive",7
"poverty","negative",7
"powerful","positive",11
"praise","positive",2
"praiseworthy","positive",1
"praising","positive",6
"precious","positive",3
"predicament","negative",1
"prefer","positive",1
"prejudice","negative",4
"premier","positive",3
"pretty","positive",6
"prick","negative",1
"pride","positive",5
"primitive","negative",1
"prison","negative",1
"privilege","positive",4
"privileged","positive",3
"prize","positive",4
"proactive","positive",7
"problematic","negative",1
"progress","positive",5
"progressive","positive",1
"prohibit","negative",4
"prominent","positive",3
"promise","positive",2
"promised","positive",2
"promises","positive",2
"promising","positive",6
"prompt","positive",4
"promptly","positive",1
"propaganda","negative",7
"proper","positive",39
"properly","positive",16
"prosecute","negative",1
"protect","positive",89
"protection","positive",68
"protective","positive",38
"protest","negative",3
"protesting","negative",1
"protests","negative",4
"proud","positive",49
"proven","positive",5
"proves","positive",2
"proving","positive",1
"prudent","positive",3
"punish","negative",19
"punishable","negative",1
"puppet","negative",1
"pure","positive",7
"purposeful","positive",1
"quack","negative",2
"qualified","positive",3
"queer","negative",2
"quicker","positive",2
"quiet","positive",2
"racism","negative",4
"racist","negative",2
"racists","negative",1
"radical","negative",3
"radicals","negative",1
"rage","negative",2
"raging","negative",2
"rail","negative",1
"rampant","negative",1
"randomly","negative",1
"rant","negative",1
"rape","negative",3
"rapid","positive",21
"readable","positive",1
"readily","positive",2
"ready","positive",63
"realistic","positive",4
"reasonable","positive",1
"recession","negative",6
"recommend","positive",3
"recommendation","positive",2
"recommendations","positive",4
"recommended","positive",7
"recover","positive",14
"recovery","positive",29
"rectify","positive",1
"redeeming","positive",1
"reform","positive",2
"reforms","positive",2
"refund","positive",34
"refunded","positive",1
"refuse","negative",2
"refused","negative",7
"refuses","negative",2
"refutes","negative",1
"regard","positive",10
"regret","negative",32
"regretted","negative",3
"rejected","negative",1
"rejects","negative",2
"relentless","negative",1
"relentlessly","negative",2
"reliable","positive",3
"relief","positive",191
"reluctant","negative",2
"remarkable","positive",3
"remedy","positive",2
"repression","negative",1
"repulsive","negative",1
"resilient","positive",1
"respect","positive",30
"respectable","positive",3
"respectful","positive",1
"respectfully","positive",1
"respite","positive",1
"responsibly","positive",1
"responsive","positive",6
"restored","positive",13
"restrict","negative",4
"restricted","negative",6
"restriction","negative",6
"restrictive","negative",1
"retreat","negative",1
"revengeful","negative",1
"revert","negative",22
"revival","positive",1
"reward","positive",1
"rich","positive",18
"ridicule","negative",2
"righteous","positive",2
"rightly","positive",2
"rigid","negative",1
"rip","negative",1
"risk","negative",67
"risks","negative",2
"risky","negative",1
"robust","positive",10
"rogue","negative",2
"rotten","negative",3
"rough","negative",2
"rubbish","negative",2
"ruin","negative",1
"ruined","negative",1
"rumor","negative",1
"rumors","negative",5
"rumours","negative",15
"sabotage","negative",1
"sack","negative",1
"sad","negative",12
"sadly","negative",6
"safe","positive",328
"safely","positive",12
"saint","positive",2
"salute","positive",39
"sane","positive",1
"sarcasm","negative",1
"satisfactorily","positive",1
"satisfy","positive",1
"satisfying","positive",1
"saver","positive",1
"savior","positive",92
"scam","negative",4
"scams","negative",1
"scare","negative",19
"scared","negative",10
"scary","negative",8
"scramble","negative",1
"scrambles","negative",1
"scrambling","negative",1
"scream","negative",1
"scum","negative",1
"seamless","positive",7
"secure","positive",4
"selective","positive",3
"selfish","negative",6
"sensational","positive",1
"senseless","negative",1
"sensitive","positive",2
"serene","positive",1
"seriousness","negative",17
"sever","negative",1
"severe","negative",26
"severity","negative",6
"shake","negative",3
"shaky","negative",1
"shallow","negative",1
"shame","negative",35
"shameful","negative",1
"shameless","negative",7
"shamelessly","negative",1
"sharp","positive",3
"shine","positive",3
"shit","negative",12
"shock","negative",6
"shocked","negative",2
"shocking","negative",9
"shortage","negative",25
"sick","negative",16
"siege","negative",1
"significant","positive",2
"silent","positive",20
"silly","negative",5
"sin","negative",4
"sincere","positive",6
"sincerely","positive",7
"sinful","negative",1
"sinking","negative",1
"skilled","positive",3
"slack","negative",1
"slap","negative",1
"slaves","negative",1
"slick","positive",1
"slow","negative",23
"slower","negative",1
"slowest","negative",1
"slowly","negative",9
"smart","positive",9
"smartly","positive",1
"smash","negative",1
"smell","negative",1
"smile","positive",2
"smiles","positive",2
"smiling","positive",1
"smoke","negative",2
"smooth","positive",2
"sob","negative",1
"soft","positive",2
"solid","positive",2
"solidarity","positive",24
"soulful","positive",3
"soundly","positive",1
"spacious","positive",1
"spade","negative",2
"spectacularly","positive",1
"speedy","positive",5
"spiritual","positive",8
"spite","negative",4
"split","negative",3
"spoil","negative",1
"spooky","negative",1
"sporadic","negative",1
"stability","positive",2
"stabilize","positive",1
"stable","positive",2
"stain","negative",3
"stainless","positive",1
"stall","negative",1
"standstill","negative",6
"stark","negative",2
"starkly","negative",1
"starvation","negative",11
"starve","negative",6
"static","negative",3
"staunch","positive",1
"steady","positive",4
"stern","negative",1
"stigma","negative",6
"stingy","negative",1
"stinks","negative",1
"stolen","negative",2
"stooges","negative",1
"strain","negative",13
"strange","negative",3
"strangely","negative",1
"strangle","negative",1
"strenuous","negative",1
"stress","negative",11
"stressful","negative",1
"strict","negative",22
"strictly","negative",21
"strident","negative",1
"strife","negative",1
"strike","negative",3
"striking","positive",1
"stringent","negative",3
"strong","positive",34
"stronger","positive",11
"struck","negative",3
"struggle","negative",10
"struggled","negative",1
"struggles","negative",4
"struggling","negative",18
"stubborn","negative",1
"stubbornness","negative",1
"stuck","negative",41
"stumble","negative",3
"stupid","negative",9
"stupidity","negative",5
"stupor","negative",1
"subjected","negative",1
"subordinate","negative",1
"subservient","negative",1
"subsidized","positive",1
"succeed","positive",3
"succeeds","positive",1
"success","positive",18
"successes","positive",1
"successful","positive",12
"successfully","positive",15
"succumb","negative",2
"suck","negative",3
"sue","negative",2
"suffer","negative",26
"suffered","negative",5
"sufferer","negative",1
"sufferers","negative",1
"suffering","negative",45
"suffers","negative",2
"sufficient","positive",9
"suicide","negative",6
"suitable","positive",2
"sumptuous","positive",1
"super","positive",14
"superb","positive",1
"superior","positive",1
"superiority","positive",1
"superstition","negative",1
"superstitious","negative",2
"support","positive",230
"supported","positive",12
"supporter","positive",1
"supporting","positive",20
"supportive","positive",5
"supports","positive",9
"suppress","negative",5
"suppression","negative",1
"supremacy","positive",1
"supreme","positive",10
"surpass","positive",5
"survival","positive",5
"survivor","positive",2
"suspect","negative",6
"suspicious","negative",1
"sustainability","positive",1
"sustainable","positive",1
"sweeping","positive",2
"sweet","positive",3
"swelling","negative",1
"swift","positive",1
"swipe","negative",1
"swollen","negative",1
"symptom","negative",3
"symptoms","negative",54
"syndrome","negative",2
"talent","positive",2
"talented","positive",1
"tank","negative",3
"tanks","negative",1
"taunt","negative",1
"tempting","positive",1
"tense","negative",2
"tension","negative",4
"terrible","negative",3
"terrific","positive",1
"terror","negative",8
"terrorism","negative",13
"thankful","positive",8
"threat","negative",72
"threatening","negative",4
"threats","negative",1
"thrive","positive",1
"timely","positive",13
"togetherness","positive",1
"toll","negative",322
"top","positive",94
"tops","positive",3
"torture","negative",3
"tough","positive",34
"touted","negative",30
"toxic","negative",1
"traction","positive",1
"tragedy","negative",2
"tragic","negative",3
"traitor","negative",1
"transparent","positive",2
"trap","negative",2
"trapped","negative",1
"trash","negative",1
"trauma","negative",1
"tremendously","positive",2
"trick","negative",1
"tricky","negative",2
"trophy","positive",1
"trouble","negative",9
"troubled","negative",3
"troubles","negative",2
"troublesome","negative",1
"troubling","negative",3
"trump","positive",89
"trust","positive",20
"trusted","positive",2
"tumbles","negative",2
"twisted","negative",1
"twists","negative",1
"ugly","negative",5
"unable","negative",26
"unaffordable","negative",1
"unauthentic","negative",1
"unavailable","negative",1
"unbelievable","negative",3
"unbelievably","negative",1
"uncertain","negative",3
"unclear","negative",1
"unconstitutional","negative",1
"uncouth","negative",1
"underestimate","negative",1
"undermine","negative",4
"undermining","negative",1
"understandable","positive",1
"undue","negative",1
"unemployed","negative",4
"unethical","negative",1
"unexplained","negative",1
"unfaithful","negative",8
"unfortunate","negative",3
"unfriendly","negative",1
"unhappy","negative",1
"unhealthy","negative",2
"unimaginable","negative",1
"uninformed","negative",1
"unity","positive",6
"unknown","negative",36
"unleash","negative",1
"unlimited","positive",1
"unnecessary","negative",3
"unorthodox","negative",1
"unparalleled","positive",1
"unprepared","negative",3
"unproven","negative",1
"unrest","negative",2
"unrestricted","positive",1
"unsafe","negative",2
"untested","negative",2
"unthinkable","negative",1
"untouched","negative",3
"unusual","negative",2
"unusually","negative",1
"unwanted","negative",1
"unwarranted","negative",1
"unwavering","positive",1
"urgent","negative",24
"useless","negative",1
"vague","negative",1
"vain","negative",1
"valor","positive",1
"valuable","positive",6
"vengeance","negative",2
"vent","negative",1
"vibrant","positive",1
"vice","negative",1
"vicious","negative",3
"victorious","positive",4
"victory","positive",5
"vigilant","positive",1
"violate","negative",1
"violation","negative",6
"violators","negative",8
"violent","negative",2
"violently","negative",1
"virtue","positive",2
"virulence","negative",2
"virulent","negative",4
"virus","negative",741
"visionary","positive",2
"vulnerable","negative",31
"warm","positive",3
"warned","negative",3
"warning","negative",10
"waste","negative",21
"wasted","negative",3
"wasteful","negative",1
"wasting","negative",2
"weak","negative",5
"weaken","negative",1
"weaker","negative",3
"wealthy","positive",1
"weed","negative",2
"wellbeing","positive",3
"whine","negative",1
"wild","negative",3
"wildly","negative",1
"willingly","positive",5
"win","positive",102
"winner","positive",5
"winners","positive",1
"winning","positive",3
"wins","positive",7
"wisdom","positive",3
"wise","positive",87
"wisely","positive",4
"woefully","negative",1
"won","positive",16
"wonderful","positive",6
"wonders","positive",2
"workable","positive",1
"worried","negative",18
"worrisome","negative",3
"worry","negative",16
"worrying","negative",4
"worryingly","negative",14
"worse","negative",33
"worsen","negative",2
"worsening","negative",2
"worst","negative",50
"worth","positive",30
"worthy","positive",2
"wow","positive",10
"wrath","negative",1
"wrinkles","negative",1
"wrong","negative",31
"wrongly","negative",1
"zap","negative",1
"zeal","positive",1
